Season,Year,Winner,Runner_up,Judges,Contestants,Viewership
1,25,"June 11, 2002 (2002-06-11)","September 4, 2002 (2002-09-04)",Fox,Kelly Clarkson,Justin Guarini
2,40,"January 21, 2003 (2003-01-21)","May 21, 2003 (2003-05-21)",Ruben Studdard,Clay Aiken,N/A
3,44,"January 19, 2004 (2004-01-19)","May 26, 2004 (2004-05-26)",Fantasia Barrino,Diana DeGarmo,N/A
4,43,"January 18, 2005 (2005-01-18)","May 25, 2005 (2005-05-25)",Carrie Underwood,Bo Bice,N/A
5,41,"January 17, 2006 (2006-01-17)","May 24, 2006 (2006-05-24)",Taylor Hicks,Katharine McPhee,N/A
6,41,"January 16, 2007 (2007-01-16)","May 23, 2007 (2007-05-23)",Jordin Sparks,Blake Lewis,N/A
7,42,"January 15, 2008 (2008-01-15)","May 21, 2008 (2008-05-21)",David Cook,David Archuleta,N/A
8,40,"January 13, 2009 (2009-01-13)","May 20, 2009 (2009-05-20)",Kris Allen,Adam Lambert,N/A
9,43,"January 12, 2010 (2010-01-12)","May 26, 2010 (2010-05-26)",Lee DeWyze,Crystal Bowersox,N/A
10,39,"January 19, 2011 (2011-01-19)","May 25, 2011 (2011-05-25)",Scotty McCreery,Lauren Alaina,N/A
11,40,"January 18, 2012 (2012-01-18)","May 23, 2012 (2012-05-23)",Phillip Phillips,Jessica Sanchez,N/A
12,37,"January 16, 2013 (2013-01-16)","May 16, 2013 (2013-05-16)",Candice Glover,Kree Harrison,N/A
13,39,"January 15, 2014 (2014-01-15)","May 21, 2014 (2014-05-21)",Caleb Johnson,Jena Irene,N/A
14,30,"January 7, 2015 (2015-01-07)","May 13, 2015 (2015-05-13)",Nick Fradiani,Clark Beckham,N/A
15,24,"January 6, 2016 (2016-01-06)","April 7, 2016 (2016-04-07)",Trent Harmon,La'Porsha Renae,N/A
16,19,"March 11, 2018 (2018-03-11)","May 21, 2018 (2018-05-21)",ABC,Maddie Poppe,Caleb Lee Hutchinson
17,19,"March 3, 2019 (2019-03-03)","May 19, 2019 (2019-05-19)",Laine Hardy,Alejandro Aranda,N/A
18,16,"February 16, 2020 (2020-02-16)","May 17, 2020 (2020-05-17)",Just Sam,Arthur Gunn,N/A
19,19,"February 14, 2021 (2021-02-14)","May 23, 2021 (2021-05-23)",Chayce Beckham,Willie Spence,N/A
20,20,"February 27, 2022 (2022-02-27)","May 22, 2022 (2022-05-22)",Noah Thompson,HunterGirl,N/A
21,20,"February 19, 2023 (2023-02-19)","May 21, 2023 (2023-05-21)",Iam Tongi,Megan Danielle,N/A
22,18,"February 18, 2024 (2024-02-18)","May 19, 2024 (2024-05-19)",Abi Carter,Will Moseley,N/A
23,19[68],"March 2, 2025 (2025-03-02)","May 18, 2025 (2025-05-18)[68]",TBA,TBA,N/A
